model_id,base_id_y,inference_type_y,confidence_y,Accept,Reason
openbmb/Eurux-8x22b-kto,mistral-community/Mixtral-8x22B-v0.1,finetune,high,TRUE,
RichardErkhov/ibm-granite_-_granite-3b-code-instruct-2k-gguf,ibm-granite/granite-3b-code-base-2k,quantized,high,TRUE,
Salesforce/codet5-base-codexglue-sum-go,Salesforce/codet5-base,finetune,high,TRUE,
14harshaldhote/plutusLLM,openai-community/gpt2,finetune,high,TRUE,
openvoid/Prox-Phi-3-mini-128k,microsoft/Phi-3-mini-128k-instruct,finetune,high,TRUE,
Guilherme34/Qwen-Samantha-2.0,Qwen/Qwen3-32B,finetune,high,TRUE,
metadev7/metadev-7b,codellama/CodeLlama-7b-hf,finetune,high,FALSE,should be wuant
poisson-fish/Phind-CodeLlama-34B-v2-AWQ,Phind/Phind-CodeLlama-34B-v1,finetune,high,TRUE,
Villian7/01Coder,mistralai/Mistral-7B-Instruct-v0.3,finetune,high,TRUE,
ferhatcil/CyberSec-Qwen2.5-3B-SchemaLocked-GGUF,Qwen/Qwen2.5-3B,finetune,high,TRUE,
RichardErkhov/Qwen_-_CodeQwen1.5-7B-gguf,Qwen/CodeQwen1.5-7B,quantized,high,TRUE,
JetBrains-Research/Qwen3-0.6B-am,Qwen/Qwen3-0.6B-Base,finetune,high,TRUE,
quim-motger/reviewXLNet-base,xlnet/xlnet-base-cased,finetune,high,TRUE,
RichardErkhov/Locutusque_-_Hyperion-2.0-Mistral-7B-gguf,mistralai/Mistral-7B-v0.1,quantized,high,TRUE,
RichardErkhov/Locutusque_-_Hyperion-3.0-Mistral-7B-alpha-gguf,mistralai/Mistral-7B-v0.1,quantized,high,TRUE,
SEBIS/code_trans_t5_base_code_comment_generation_java,google-t5/t5-base,finetune,high,TRUE,
devadigaprathamesh/MistralXGo-7B,mistralai/Mistral-7B-v0.1,finetune,high,TRUE,
LLM360/CrystalChat,LLM360/Crystal,finetune,high,TRUE,
RichardErkhov/neuralmagic_-_Llama-2-7b-evolcodealpaca-4bits,meta-llama/Llama-2-7b-hf,quantized,high,TRUE,
RichardErkhov/shahdishank_-_gemma-2b-it-finetune-python-codes-gguf,shahdishank/gemma-2b-it-finetune-python-codes,quantized,high,TRUE,
SEBIS/code_trans_t5_base_api_generation_multitask_finetune,google-t5/t5-base,finetune,high,TRUE,
manuelgutierrez/WhiteRabbitNeo-33B-v1.5-GGUF,WhiteRabbitNeo/WhiteRabbitNeo-33B-v1.5,quantized,high,TRUE,
RedHatAI/granite-4.0-h-small,ibm-granite/granite-4.0-h-small-base,finetune,high,TRUE,
SparseLLM/prosparse-llama-2-13b,meta-llama/Llama-2-13b-hf,finetune,high,TRUE,
czlll/Qwen2.5-Coder-7B-CL,Qwen/Qwen2.5-Coder-32B-Instruct,finetune,high,TRUE,
duyntnet/granite-8b-code-instruct-imatrix-GGUF,ibm-granite/granite-8b-code-base-4k,finetune,high,FALSE,wrong adaptation type should be quant
google/codegemma-2b-GGUF,google/gemma-4-26B-A4B-it,finetune,high,FALSE,only say gemma as base modlel
lafarizo/code_translation_v1,michaelnath/dummy_code_to_code_model,finetune,high,FALSE,
maddes8cht/stabilityai-stablecode-instruct-alpha-3b-gguf,stabilityai/stablecode-completion-alpha-3b,finetune,high,FALSE,wrong adaptation type
pblair-basis/Mistral-7B-v0.1,mistralai/Mistral-7B-v0.1,finetune,high,FALSE,mirror upload
openlmlab/open-chinese-llama-7b-patch,meta-llama/Llama-3.1-8B-Instruct,finetune,high,FALSE,not exist at that time
TheBloke/tulu-13B-fp16,allenai/tulu-13b,merge,high,FALSE,mirror
ArmurAI/L3_8B_Solana_Smart_Contract_Analyser,Lewdiculous/L3-8B-Stheno-v3.2-GGUF-IQ-Imatrix,finetune,high,FALSE,
atharvapawar/securix_Llama-2-7B-Chat-GGML,fixie-ai/ultravox-v0_5-llama-3_2-1b,finetune,high,FALSE,
jdeschena/sdtt,kuleshov-group/mdlm-owt,finetune,high,FALSE,
nvidia/Minitron-8B-Base,Nitrals-Quants/Nemotron-15b-Thinker-v0.1-Q4_K_M-GGUF,finetune,high,FALSE,
patched-codes/patched-coder-34b,TheBloke/CodeLlama-34B-Python-GGUF,finetune,high,FALSE,
Qwen/CodeQwen1.5-7B,Qwen/Qwen1.5-MoE-A2.7B,finetune,high,FALSE,not mentioned
sokada/codegen25-7b-multi-gguf-with-dummy-tokenizer,Salesforce/codegen25-7b-multi_P,finetune,high,FALSE,
TommyZQ/phi-1_5,microsoft/phi-1,finetune,high,FALSE,
HuggingFaceTB/SmolLM2-1.7B,nm-testing/SmolLM-1.7B-Instruct-quantized.w4a16,finetune,high,,
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0924,finetune,high,,
microsoft/Orca-2-7b,fixie-ai/ultravox-v0_5-llama-3_2-1b,finetune,high,,
the1ullneversee/Restful-Llama-3-7b,mozilla-ai/Qwen2.5.1-Coder-7B-Instruct-llamafile,finetune,high,,
Villian7/01Coder,prashrex/codegen2,finetune,high,,
